Column1;Season;Episode;Sentence;Name;N_serie;N_Season;Emision Date
1;Season 1;winter is coming;What d’you expect? They’re savages One lot steals a goat from another lot and before you know it, they’re ripping each other to pieces;waymar royce;1;1;17/04/2011
2;Season 1;winter is coming;I’ve never seen wildlings do a thing like this I’ve never seen a thing like this, not ever in my life;will;1;1;17/04/2011
3;Season 1;winter is coming;How close did you get?;waymar royce;1;1;17/04/2011
4;Season 1;winter is coming;Close as any man would;will;1;1;17/04/2011
5;Season 1;winter is coming;We should head back to the wall;gared;1;1;17/04/2011
6;Season 1;winter is coming;Do the dead frighten you?;royce;1;1;17/04/2011
7;Season 1;winter is coming;Our orders were to track the wildlings We tracked them They won’t trouble us no more;gared;1;1;17/04/2011
8;Season 1;winter is coming;You don’t think he’ll ask us how they died? Get back on your horse;royce;1;1;17/04/2011
9;Season 1;winter is coming;Whatever did it to them could do it to us They even killed the children;will;1;1;17/04/2011
10;Season 1;winter is coming;It’s a good thing we’re not children You want to run away south, run away Of course, they will behead you as a deserter If I don’t catch you first Get back on your horse I won’t say it again;royce;1;1;17/04/2011
11;Season 1;winter is coming;Your dead men seem to have moved camp;royce;1;1;17/04/2011
12;Season 1;winter is coming;They were here;will;1;1;17/04/2011
13;Season 1;winter is coming;See where they went;gared;1;1;17/04/2011
14;Season 1;winter is coming;What is it?;royce;1;1;17/04/2011
15;Season 1;winter is coming;It’s;gared;1;1;17/04/2011
16;Season 1;winter is coming;Go on Father’s watching;jon;1;1;17/04/2011
17;Season 1;winter is coming;And your mother;jon;1;1;17/04/2011
18;Season 1;winter is coming;Fine work, as always Well done;septa mordane;1;1;17/04/2011
19;Season 1;winter is coming;Thank you;sansa;1;1;17/04/2011
20;Season 1;winter is coming;I love the detail that you’ve managed to get in this corners Quite beautiful the stitching;septa mordane;1;1;17/04/2011
21;Season 1;winter is coming;And which one of you was a marksman at ten? Keep practicing, Bran Go on;ned;1;1;17/04/2011
22;Season 1;winter is coming;Don’t think too much, Bran;jon;1;1;17/04/2011
23;Season 1;winter is coming;Relax your bow arm JON;robb;1;1;17/04/2011
24;Season 1;winter is coming;Quick, Bran, faster;robb;1;1;17/04/2011
25;Season 1;winter is coming;Lord Stark My lady A guardsman just rode in from the hills They’ve captured a deserter from the Night’s Watch;cassel;1;1;17/04/2011
26;Season 1;winter is coming;Get the lads to saddle their horses;ned;1;1;17/04/2011
27;Season 1;winter is coming;Do you have to?;catelyn;1;1;17/04/2011
28;Season 1;winter is coming;He swore an oath, Cat;ned;1;1;17/04/2011
29;Season 1;winter is coming;The law is law, my lady;cassel;1;1;17/04/2011
30;Season 1;winter is coming;Tell Bran he’s coming, too;ned;1;1;17/04/2011
31;Season 1;winter is coming;Ned Ten is too young to see such things;catelyn;1;1;17/04/2011
32;Season 1;winter is coming;He won’t be a boy forever And winter is coming;ned;1;1;17/04/2011
33;Season 1;winter is coming;Lad, go run back and get the rest;robb;1;1;17/04/2011
34;Season 1;winter is coming;White Walkers I saw the White Walkers White Walkers The White Walkers, I saw them;will;1;1;17/04/2011
35;Season 1;winter is coming;I know I broke my oath And I know I’m a deserter I should have gone back to the Wall and warned them But I saw what I saw I saw the White Walkers People need to know If you can get word to my family, tell them I’m no coward Tell them I’m sorry;will;1;1;17/04/2011
36;Season 1;winter is coming;Forgive me, lord;will;1;1;17/04/2011
37;Season 1;winter is coming;In the name of Robert of the House Baratheon, first of his name;ned;1;1;17/04/2011
38;Season 1;winter is coming;Don’t look away;jon;1;1;17/04/2011
39;Season 1;winter is coming;King of the Andals and the First Men;ned;1;1;17/04/2011
40;Season 1;winter is coming;Father will know if you do;jon;1;1;17/04/2011
41;Season 1;winter is coming;Lord of the Seven Kingdoms and protector of the realm, I, Eddard of the House Stark, Lord of Winterfell and Warden of the North, sentence you to die;ned;1;1;17/04/2011
42;Season 1;winter is coming;You did well;jon;1;1;17/04/2011
43;Season 1;winter is coming;You understand why I did it?;ned;1;1;17/04/2011
44;Season 1;winter is coming;Jon said he was a deserter;bran;1;1;17/04/2011
45;Season 1;winter is coming;But do you understand why I had to kill him?;ned;1;1;17/04/2011
46;Season 1;winter is coming;Our way is the old way?;bran;1;1;17/04/2011
47;Season 1;winter is coming;The man who passes the sentence should swing the sword;ned;1;1;17/04/2011
48;Season 1;winter is coming;Is it true he saw the White Walkers?;bran;1;1;17/04/2011
49;Season 1;winter is coming;The White Walkers have been gone for thousands of years;ned;1;1;17/04/2011
50;Season 1;winter is coming;So he was lying?;bran;1;1;17/04/2011
51;Season 1;winter is coming;A madman sees what he sees;ned;1;1;17/04/2011
52;Season 1;winter is coming;What is it?;jon;1;1;17/04/2011
53;Season 1;winter is coming;Mountain lion?;theon;1;1;17/04/2011
54;Season 1;winter is coming;There are no mountain lions in these woods;ned;1;1;17/04/2011
55;Season 1;winter is coming;It’s a freak;theon;1;1;17/04/2011
56;Season 1;winter is coming;It’s a direwolf;ned;1;1;17/04/2011
57;Season 1;winter is coming;Tough old beast;ned;1;1;17/04/2011
58;Season 1;winter is coming;There are no direwolves south of the Wall;robb;1;1;17/04/2011
59;Season 1;winter is coming;Now there are five;jon;1;1;17/04/2011
60;Season 1;winter is coming;You want to hold it?;jon;1;1;17/04/2011
61;Season 1;winter is coming;Where will they go? Their mother’s dead;bran;1;1;17/04/2011
62;Season 1;winter is coming;They don’t belong down here;cassel;1;1;17/04/2011
63;Season 1;winter is coming;Better a quick death They won’t last without their mother;ned;1;1;17/04/2011
64;Season 1;winter is coming;Right Give it here;theon;1;1;17/04/2011
65;Season 1;winter is coming;NO;bran;1;1;17/04/2011
66;Season 1;winter is coming;Put away your blade;robb;1;1;17/04/2011
67;Season 1;winter is coming;I take orders from your father, not you;theon;1;1;17/04/2011
68;Season 1;winter is coming;Please, father;bran;1;1;17/04/2011
69;Season 1;winter is coming;I’m sorry, Bran;ned;1;1;17/04/2011
70;Season 1;winter is coming;Lord Stark? There are five pups One for each of the Stark children The direwolf is the sigil of your House They were meant to have them;jon;1;1;17/04/2011
71;Season 1;winter is coming;You will train them yourselves You will feed them yourselves And if they die, you will bury them yourselves;ned;1;1;17/04/2011
72;Season 1;winter is coming;What about you?;bran;1;1;17/04/2011
73;Season 1;winter is coming;I’m not a Stark Get on;jon;1;1;17/04/2011
74;Season 1;winter is coming;What is it?;robb;1;1;17/04/2011
75;Season 1;winter is coming;The runt of the litter That one’s yours, Snow;theon;1;1;17/04/2011
76;Season 1;winter is coming;As your brother, I feel it’s my duty to warn you You worry too much It’s starting to show;jaime;1;1;17/04/2011
77;Season 1;winter is coming;And you never worry about anything When we were seven, you jumped off the cliffs as Casterly Rock One hundred foot drop into the water And you were never afraid;cersei;1;1;17/04/2011
78;Season 1;winter is coming;There was nothing to be afraid of until you told father We’re Lannisters Lannisters don’t act like fools;jaime;1;1;17/04/2011
79;Season 1;winter is coming;What if Jon Arryn told someone?;cersei;1;1;17/04/2011
80;Season 1;winter is coming;But who would he tell?;jaime;1;1;17/04/2011
81;Season 1;winter is coming;My husband;cersei;1;1;17/04/2011
82;Season 1;winter is coming;If he told the king, both our heads would be skewered on the city gates by now Whatever Jon Arryn knew or didn’t know, it died with him And Robert will choose a new Hand of the king, someone to do his job while he’s off fucking boars and hunting whores Or is it the other way around? And life will go on;jaime;1;1;17/04/2011
83;Season 1;winter is coming;You should be the Hand of the king;cersei;1;1;17/04/2011
84;Season 1;winter is coming;That’s an honor I can do without Their days are too long, their lives are too short;jaime;1;1;17/04/2011
85;Season 1;winter is coming;All these years and I still feel like an outsider when I come here;catelyn;1;1;17/04/2011
86;Season 1;winter is coming;You have five northern children You’re not an outsider;ned;1;1;17/04/2011
87;Season 1;winter is coming;I wonder if the old gods agree;catelyn;1;1;17/04/2011
88;Season 1;winter is coming;It’s your gods with all the rules;ned;1;1;17/04/2011
89;Season 1;winter is coming;I am so sorry, my love;catelyn;1;1;17/04/2011
90;Season 1;winter is coming;Tell me;ned;1;1;17/04/2011
91;Season 1;winter is coming;There was a raven from Kings Landing Jon Arryn is dead A fever took him I know he was like a father to you;catelyn;1;1;17/04/2011
92;Season 1;winter is coming;Your sister The boy;ned;1;1;17/04/2011
93;Season 1;winter is coming;They both have their health Gods be good The raven brought more news The king rides for Winterfell With the queen and all the rest of them;catelyn;1;1;17/04/2011
